Date,Value 1,Value 2,Value 3,Value 4
01-Jun-2021,15630,15661,15528,15575
02-Jun-2021,15520,15597,15460,15576
03-Jun-2021,15656,15705,15611,15690
04-Jun-2021,15713,15734,15622,15670
07-Jun-2021,15725,15773,15678,15752
08-Jun-2021,15774,15779,15680,15740
09-Jun-2021,15766,15800,15567,15635
10-Jun-2021,15692,15751,15649,15738
11-Jun-2021,15796,15836,15750,15799
14-Jun-2021,15791,15823,15607,15812
15-Jun-2021,15867,15902,15842,15869
16-Jun-2021,15848,15881,15743,15768
17-Jun-2021,15648,15769,15617,15691
18-Jun-2021,15757,15762,15451,15683
21-Jun-2021,15526,15765,15506,15747
22-Jun-2021,15841,15896,15752,15773
23-Jun-2021,15863,15863,15674,15687
24-Jun-2021,15737,15821,15703,15790
25-Jun-2021,15839,15871,15772,15860
28-Jun-2021,15915,15916,15792,15815
29-Jun-2021,15808,15836,15724,15748
30-Jun-2021,15777,15839,15709,15722
01-Jul-2021,15755,15756,15667,15680
02-Jul-2021,15706,15738,15636,15722
05-Jul-2021,15793,15846,15762,15834
06-Jul-2021,15814,15914,15801,15818
07-Jul-2021,15820,15894,15780,15880
08-Jul-2021,15855,15886,15683,15728
09-Jul-2021,15688,15731,15633,15690
12-Jul-2021,15767,15789,15645,15693
13-Jul-2021,15794,15821,15745,15812
14-Jul-2021,15809,15877,15764,15854
15-Jul-2021,15872,15952,15855,15924
16-Jul-2021,15958,15962,15883,15923
19-Jul-2021,15755,15837,15708,15752
20-Jul-2021,15704,15728,15579,15632
22-Jul-2021,15737,15835,15726,15824
23-Jul-2021,15857,15900,15768,15856
26-Jul-2021,15849,15893,15797,15824
27-Jul-2021,15861,15882,15701,15746
28-Jul-2021,15762,15768,15513,15709
29-Jul-2021,15763,15817,15738,15778
30-Jul-2021,15801,15863,15745,15763
02-Aug-2021,15875,15893,15835,15885
03-Aug-2021,15952,16147,15914,16131
04-Aug-2021,16195,16290,16176,16259
05-Aug-2021,16289,16349,16210,16295
06-Aug-2021,16304,16337,16223,16238
09-Aug-2021,16281,16321,16179,16258
10-Aug-2021,16275,16359,16202,16280
11-Aug-2021,16327,16339,16163,16282
12-Aug-2021,16304,16376,16287,16364
13-Aug-2021,16386,16544,16376,16529
16-Aug-2021,16518,16589,16481,16563
17-Aug-2021,16545,16629,16495,16615
18-Aug-2021,16692,16702,16536,16569
20-Aug-2021,16383,16510,16376,16451
23-Aug-2021,16592,16593,16396,16496
24-Aug-2021,16561,16647,16495,16625
25-Aug-2021,16654,16712,16618,16635
26-Aug-2021,16628,16684,16603,16637
27-Aug-2021,16643,16722,16566,16705
30-Aug-2021,16776,16952,16765,16931
31-Aug-2021,16948,17154,16916,17132
01-Sep-2021,17186,17226,17055,17076
02-Sep-2021,17095,17246,17060,17234
03-Sep-2021,17262,17340,17212,17324
06-Sep-2021,17399,17430,17346,17378
07-Sep-2021,17402,17437,17287,17362
08-Sep-2021,17376,17383,17254,17354
09-Sep-2021,17313,17380,17303,17369
13-Sep-2021,17364,17378,17269,17355
14-Sep-2021,17420,17439,17367,17380
15-Sep-2021,17388,17533,17387,17519
16-Sep-2021,17539,17645,17510,17630
17-Sep-2021,17710,17793,17538,17585
20-Sep-2021,17444,17623,17362,17397
21-Sep-2021,17451,17578,17326,17562
22-Sep-2021,17581,17610,17524,17547
23-Sep-2021,17671,17844,17647,17823
24-Sep-2021,17897,17948,17819,17853
27-Sep-2021,17932,17944,17803,17855
28-Sep-2021,17906,17913,17576,17749
29-Sep-2021,17658,17782,17608,17711
30-Sep-2021,17719,17742,17585,17618
01-Oct-2021,17532,17557,17453,17532
04-Oct-2021,17616,17751,17581,17691
05-Oct-2021,17661,17833,17641,17822
06-Oct-2021,17862,17885,17613,17646
07-Oct-2021,17811,17858,17764,17790
08-Oct-2021,17887,17942,17840,17895
11-Oct-2021,17868,18042,17839,17946
12-Oct-2021,17916,18009,17865,17992
13-Oct-2021,18098,18198,18051,18162
14-Oct-2021,18273,18351,18249,18339
18-Oct-2021,18500,18543,18445,18477
19-Oct-2021,18602,18604,18378,18419
20-Oct-2021,18440,18458,18209,18267
21-Oct-2021,18383,18384,18048,18178
22-Oct-2021,18231,18314,18034,18115
25-Oct-2021,18230,18241,17969,18125
26-Oct-2021,18155,18310,18099,18268
27-Oct-2021,18296,18342,18168,18211
28-Oct-2021,18188,18191,17799,17857
29-Oct-2021,17833,17916,17613,17672
01-Nov-2021,17783,17954,17697,17930
02-Nov-2021,17971,18012,17848,17889
03-Nov-2021,17948,17989,17758,17829
04-Nov-2021,17935,17948,17901,17917
08-Nov-2021,18040,18088,17836,18069
09-Nov-2021,18084,18113,17983,18044
10-Nov-2021,17973,18061,17915,18017
11-Nov-2021,17967,17971,17798,17874
12-Nov-2021,17978,18123,17906,18103
15-Nov-2021,18141,18210,18071,18109
16-Nov-2021,18127,18133,17959,17999
17-Nov-2021,17939,18023,17879,17899
18-Nov-2021,17891,17946,17689,17765
22-Nov-2021,17796,17805,17280,17417
23-Nov-2021,17282,17554,17216,17503
24-Nov-2021,17550,17601,17354,17415
25-Nov-2021,17417,17564,17352,17536
26-Nov-2021,17339,17355,16986,17026
29-Nov-2021,17056,17161,16782,17054
30-Nov-2021,17051,17325,16931,16983
01-Dec-2021,17104,17213,17064,17167
02-Dec-2021,17183,17420,17149,17402
03-Dec-2021,17425,17490,17181,17197
06-Dec-2021,17209,17217,16892,16912
07-Dec-2021,17044,17252,16988,17177
08-Dec-2021,17315,17485,17309,17470
09-Dec-2021,17524,17543,17380,17517
10-Dec-2021,17476,17534,17405,17511
13-Dec-2021,17619,17640,17356,17368
14-Dec-2021,17283,17376,17226,17325
15-Dec-2021,17324,17351,17192,17221
16-Dec-2021,17373,17379,17185,17248
17-Dec-2021,17276,17298,16966,16985
20-Dec-2021,16824,16840,16410,16614
21-Dec-2021,16773,16936,16688,16771
22-Dec-2021,16866,16971,16820,16955
23-Dec-2021,17067,17119,17016,17073
24-Dec-2021,17150,17156,16910,17004
27-Dec-2021,16938,17112,16833,17086
28-Dec-2021,17178,17250,17161,17233
29-Dec-2021,17220,17286,17177,17214
30-Dec-2021,17201,17264,17146,17204
